Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,Cond,,Fraction,,Injection,,
ml,mAU,ml,mS/cm,ml,Fraction,ml,Injection,
1.823,-40.54954,3.639,14.50927,,,,,
1.838,-40.50287,3.668,14.50872,,,,,
1.853,-40.41799,3.697,14.50875,,,,,
1.867,-40.35652,3.727,14.50879,,,,,
1.882,-40.26775,3.756,14.50926,,,,,
1.897,-40.15703,3.785,14.50983,,,,,
1.911,-40.13113,3.814,14.51087,,,,,
1.926,-40.09089,3.844,14.51198,,,,,
1.94,-40.12683,3.873,14.51295,,,,,
1.955,-40.14332,3.902,14.51385,,,,,
1.97,-40.16487,3.931,14.51465,,,,,
1.984,-40.08464,3.961,14.51499,,,,,
1.999,-40.07578,3.99,14.51605,,,,,
2.014,-40.04681,4.019,14.51671,,,,,
2.028,-39.99464,4.049,14.51674,,,,,
2.043,-39.94139,4.078,14.51695,,,,,
2.058,-39.90683,4.107,14.51752,,,,,
2.072,-39.86932,4.136,14.51819,,,,,
2.087,-39.83592,4.166,14.58111,,,,,
2.102,-39.7793,4.195,14.59077,,,,,
2.116,-39.73371,4.224,14.5836,,,,,
2.131,-39.75831,4.254,14.5768,,,,,
2.145,-39.80346,4.283,14.57547,,,,,
2.16,-39.85104,4.312,14.57206,,,,,
2.175,-39.78882,4.341,14.56947,,,,,
2.189,-39.77713,4.371,14.56617,,,,,
2.204,-39.72705,4.4,14.56234,,,,,
2.219,-39.78197,4.429,14.55817,,,,,
2.233,-39.74714,4.459,14.55527,,,,,
2.248,-39.82979,4.488,14.55514,,,,,
2.263,-39.86029,4.517,14.55789,,,,,
2.277,-39.78061,4.546,14.55989,,,,,
2.292,-39.83047,4.576,14.5582,,,,,
2.306,-39.92357,4.605,14.55435,,,,,
2.321,-40.00371,4.634,14.55058,,,,,
2.336,-40.01194,4.664,14.54747,,,,,
2.35,-39.98375,4.693,14.54527,,,,,
2.365,-39.90454,4.722,14.54294,,,,,
2.38,-39.84401,4.751,14.54158,,,,,
2.394,-39.9425,4.781,14.54097,,,,,
2.409,-39.94179,4.81,14.53919,,,,,
2.424,-39.95319,4.839,14.53691,,,,,
2.438,-39.8371,4.869,14.53341,,,,,
2.453,-39.72244,4.898,14.52913,,,,,
2.468,-39.66199,4.927,14.52337,,,,,
2.482,-39.60707,4.956,14.517,,,,,
2.497,-39.50368,4.986,14.51121,,,,,
2.511,-39.45247,5.015,14.50782,,,,,
2.526,-39.36448,5.044,14.50585,,,,,
2.541,-39.29012,5.074,14.50405,,,,,
2.555,-39.19777,5.103,14.50317,,,,,
2.57,-39.13461,5.132,14.50253,,,,,
2.585,-39.1268,5.161,14.50175,,,,,
2.599,-39.04187,5.191,14.50103,,,,,
2.614,-38.96581,5.22,14.50063,,,,,
2.629,-38.95786,5.249,14.50001,,,,,
2.643,-38.93079,5.279,14.49992,,,,,
2.658,-38.86939,5.308,14.50015,,,,,
2.673,-38.73221,5.337,14.50047,,,,,
2.687,-38.69342,5.366,14.50165,,,,,
2.702,-38.68069,5.396,14.50246,,,,,
2.716,-38.55382,5.425,14.50305,,,,,
2.731,-38.43695,5.454,14.50364,,,,,
2.746,-38.37546,5.484,14.50456,,,,,
2.76,-38.35633,5.513,14.50589,,,,,
2.775,-38.35625,5.542,14.50749,,,,,
2.79,-38.37483,5.571,14.50905,,,,,
2.804,-38.25663,5.601,14.51027,,,,,
2.819,-38.10587,5.63,14.51095,,,,,
2.834,-38.05254,5.659,14.51128,,,,,
2.848,-38.037,5.688,14.51136,,,,,
2.863,-38.16671,5.718,14.51103,,,,,
2.878,-38.21144,5.747,14.51092,,,,,
2.892,-38.20306,5.776,14.51054,,,,,
2.907,-38.32208,5.806,14.51065,,,,,
2.921,-38.35487,5.835,14.51095,,,,,
2.936,-38.43455,5.864,14.51206,,,,,
2.951,-38.48208,5.893,14.51301,,,,,
2.965,-38.54819,5.923,14.51386,,,,,
2.98,-38.53765,5.952,14.51473,,,,,
2.995,-38.57252,5.981,14.51541,,,,,
3.009,-38.58849,6.011,14.51584,,,,,
3.024,-38.57766,6.04,14.5161,,,,,
3.039,-38.56641,6.069,14.51654,,,,,
3.053,-38.54948,6.098,14.51679,,,,,
3.068,-38.48013,6.128,14.51733,,,,,
3.083,-38.5173,6.157,14.5185,,,,,
3.097,-38.55494,6.186,14.51954,,,,,
3.112,-38.52797,6.216,14.52028,,,,,
3.126,-38.57734,6.245,14.52072,,,,,
3.141,-38.5704,6.274,14.52092,,,,,
3.156,-38.54443,6.303,14.52102,,,,,
3.17,-38.54659,6.333,14.52113,,,,,
3.185,-38.58863,6.362,14.52128,,,,,
3.2,-38.59048,6.391,14.5211,,,,,
3.214,-38.56453,6.421,14.52149,,,,,
3.229,-38.60311,6.45,14.52227,,,,,
3.244,-38.74129,6.479,14.52303,,,,,
3.258,-38.75278,6.508,14.52383,,,,,
3.273,-38.72804,6.538,14.52503,,,,,
3.288,-38.74644,6.567,14.52647,,,,,
